Test_Point,Actual_Label,Predicted_Label,Correct
1,0.000000,0,Yes
2,1.000000,0,No
3,0.000000,0,Yes
4,0.000000,0,Yes
5,0.000000,0,Yes
6,0.000000,0,Yes
7,0.000000,0,Yes
8,16.000000,0,No
9,0.000000,0,Yes
10,0.000000,0,Yes
11,0.000000,0,Yes
12,0.000000,0,Yes
13,0.000000,0,Yes
14,0.000000,0,Yes
15,0.000000,0,Yes
16,0.000000,0,Yes
17,0.000000,0,Yes
18,0.000000,0,Yes
19,0.000000,0,Yes
20,0.000000,0,Yes
21,0.000000,0,Yes
22,0.000000,0,Yes
23,0.000000,0,Yes
24,0.000000,0,Yes
25,0.000000,0,Yes
26,0.000000,0,Yes
27,0.000000,0,Yes
28,0.000000,0,Yes
29,0.000000,0,Yes
30,0.000000,0,Yes
31,0.000000,0,Yes
32,0.000000,0,Yes
33,0.000000,0,Yes
34,0.000000,0,Yes
35,0.000000,0,Yes
36,0.000000,0,Yes
37,0.000000,0,Yes
38,0.000000,0,Yes
39,0.000000,0,Yes
40,0.000000,0,Yes
41,0.000000,0,Yes
42,0.000000,0,Yes
43,0.000000,0,Yes
44,0.000000,0,Yes
45,0.000000,0,Yes
46,0.000000,0,Yes
47,0.000000,0,Yes
48,0.000000,0,Yes
49,0.000000,0,Yes
50,0.000000,0,Yes
51,0.000000,0,Yes
52,0.000000,0,Yes
53,0.000000,0,Yes
54,0.000000,0,Yes
55,0.000000,0,Yes
56,0.000000,0,Yes
57,0.000000,0,Yes
58,0.000000,0,Yes
59,0.000000,0,Yes
60,0.000000,0,Yes
61,0.000000,0,Yes
62,0.000000,0,Yes
63,0.000000,0,Yes
64,0.000000,0,Yes
65,0.000000,0,Yes
66,0.000000,0,Yes
67,0.000000,0,Yes
68,0.000000,0,Yes
69,0.000000,0,Yes
70,0.000000,0,Yes
71,0.000000,0,Yes
72,0.000000,0,Yes
73,0.000000,0,Yes
74,0.000000,0,Yes
75,0.000000,0,Yes
76,0.000000,0,Yes
77,0.000000,0,Yes
78,1.000000,0,No
79,0.000000,0,Yes
80,0.000000,0,Yes
81,0.000000,0,Yes
